Node           X-Coord            Y-Coord           
17U24            5418129.270        5652530.200       
36*10            5418419.883        5651961.483       
36*11            5418502.919        5651971.675       
36*12            5418380.996        5651989.168       
36*13            5418619.296        5651859.755       
36*5             5419024.981        5652802.156       
36*8             5418485.143        5652061.073       
36*9             5418462.784        5652021.706       
36G22            5418868.790        5653383.130       
36G25            5418761.290        5653528.260       
36G26            5418718.680        5653573.500       
36G5             5418779.120        5653237.830       
36G8             5418962.950        5653193.110       
36L12            5418507.970        5653027.920       
36L24            5418613.420        5652928.630       
36L28            5418500.780        5652848.920       
36L32            5418352.370        5652744.310       
36L44            5418455.640        5652700.290       
36L56            5418604.800        5652692.360       
36L58            5418532.730        5652764.130       
36L62            5418587.677        5652811.274       
36L71            5418635.120        5652847.450       
36L80            5418472.340        5652877.690       
36M18            5418694.410        5652788.840       
36M21            5418679.590        5652864.760       
36M29            5418803.300        5652691.740       
36M31            5418904.450        5652743.090       
36M37            5418744.690        5652863.070       
36M41            5419007.831        5652796.261       
36M5             5418679.220        5652668.370       
36M51            5418944.130        5653014.100       
36M54            5418947.200        5653105.480       
36M60            5418757.670        5653123.100       
36M65            5418747.280        5653004.330       
36M66            5418795.070        5653002.300       
36Q109           5418618.080        5652617.240       
36Q114           5418442.350        5652594.080       
36Q121           5418407.647        5652527.243       
36Q123           5418408.620        5652492.860       
36Q153           5418264.280        5652438.420       
36Q166           5418220.740        5652387.580       
36Q177           5418163.860        5652432.100       
36Q185           5418234.460        5652661.420       
36Q23            5418442.700        5652290.750       
36Q26            5418566.490        5652194.900       
36Q31            5418506.190        5652329.950       
36Q33            5418630.920        5652413.840       
36Q37            5418323.690        5652333.650       
36Q44            5418379.830        5652395.980       
36Q55            5418447.210        5652437.480       
36Q63            5418535.300        5652452.940       
36Q69            5418601.370        5652492.780       
36Q81            5418585.820        5652527.110       
36Q86            5418557.780        5652568.720       
36Q88            5418532.710        5652570.960       
36R17            5418708.620        5652281.570       
36R22            5418833.590        5652180.920       
36R25            5418949.440        5652251.590       
36R29            5419132.590        5652183.470       
36R31            5419070.430        5652327.090       
36R33            5419028.290        5652432.180       
36R36            5418974.010        5652587.470       
36R38            5419044.150        5652633.010       
36R4             5418765.580        5652316.933       
36R50            5418842.102        5652538.957       
36R51            5418844.250        5652527.720       
36R56            5418976.420        5652448.490       
36R58            5418869.330        5652382.870       
36R6             5418776.658        5652301.250       
36R60            5418795.400        5652508.480       
36R67            5418718.540        5652626.720       
36R71            5418757.996        5652655.453       
36R78            5418746.570        5652580.500       
36R83            5418659.360        5652528.640       
36V3             5418490.750        5652069.920       
36V8             5418434.560        5652113.460       
36W3             5418697.620        5652091.920       
36W6             5418786.710        5652152.800       
36W8             5418988.500        5652096.610       
36X15            5419324.400        5651806.570       
36X17            5419346.320        5651673.210       
36X20            5419220.260        5651690.760       
36X21            5419271.710        5651670.170       
37B1             5419017.490        5651455.100       
37C18            5419244.250        5651235.880       
37C22            5419374.440        5651375.850       
37C4             5419471.110        5651481.120       
37C5             5419497.270        5651448.280       
37D1             5419641.890        5651239.080       
37G2             5419070.000        5651061.310       
37H1             5419141.030        5651136.410       
37I3             5419735.420        5651079.720       
36Q185_A         5418181.858        5652595.801       
36G8_A           5418871.031        5653215.471       
36L24_A          5418560.309        5652978.639       
36M31_A          5418811.495        5652812.900       
36M60_A          5418752.489        5653063.876       
36M51_A          5418864.579        5653007.803       
36Q33_A          5418614.324        5652402.678       
36R36_A          5418980.609        5652568.590       
36M29_A          5418822.731        5652615.229       
36R51_A          5418825.641        5652520.391       
36Q26_A          5418556.125        5652177.796       
36V3_A           5418462.293        5652091.970       
36R29_A          5419060.179        5652139.819       
36X17_A          5419301.008        5651671.364       
36X20_A          5419116.784        5651570.500       
37H1_A           5419105.024        5651098.340       
37D1_A           5419688.787        5651159.176       
36Q31_A          5418459.306        5652301.003       
36W3_A           5418582.717        5652182.156       
36R60_A          5418647.877        5652423.597       
36R38_A          5418990.388        5652598.104       
36R17_A          5418748.618        5652306.403       
36R36_B          5418955.843        5652579.105       
36R36_C          5418859.742        5652534.854       
36R56_A          5418887.062        5652393.735       
36M60_B          5418628.315        5653146.190       
36Q26_B          5418550.676        5652207.144       
36Q26_C          5418458.245        5652278.713       
36R17_B          5418579.187        5652202.642       
36R17_C          5418641.305        5652396.161       
36M31_B          5418966.069        5652605.235       
36R56_B          5418855.999        5652520.677       
36R60_B          5418859.616        5652399.375       
36L58_A          5418494.220        5652732.239       
36Q88_A          5418582.492        5652654.793       
36Q86_A          5418588.282        5652593.263       
36Q121_A         5418426.390        5652563.342       
36Q153_A         5418238.164        5652407.925       
36Q153_B         5418204.049        5652434.629       
36Q44_A          5418343.828        5652356.008       
36Q69_A          5418568.186        5652472.770       
36Q69_B          5418630.373        5652510.715       
36*11_A          5418561.107        5651915.715       
36M42            5419016.115        5652779.749       
36M38            5418963.542        5652774.465       
36M40            5419073.667        5652817.246       
36M39            5418998.410        5652823.326       
Pegelschacht     5419014.037        5652808.784       
36M73            5419126.380        5652835.450       
36F1             5418630.850        5653663.210       
Storage          5419016.406        5652800.727       
