Conduit        FromNode        ToNode          Length     Roughness  InOffset   OutOffset  InitFlow   MaxFlow   
13M036*5         36*5             36M40            63.8       0.0125     0.00       0.00       0          0         
13M-36G22        36G22            36G25            180.68     0.0125     0.00       0.00       0          0         
13M-36G25        36G25            36G26            62.12      0.0125     0.00       0.00       0          0         
13M-36G26        36G26            36F1             125.60     0.0125     0.00       0.35       0          0         
13M-36G8         36G8             36G22            250.16     0.0125     0.00       0.00       0          0         
13M-36L24        36L24            36M21            94.90      0.0125     0.00       0.00       0          0         
13M-36L28        36L28            36L24            137.52     0.0125     0.00       0.00       0          0         
13M-36L32        36L32            36L28            181.28     0.0125     0.00       0.00       0          0         
13M-36L80        36L80            36L28            40.97      0.0125     0.00       0.29       0          0         
13M-36M21        36M21            36M29            214.40     0.0125     0.00       0.00       0          0         
13M-36M29        36M29            36M31            113.30     0.0125     0.00       0.39       0          0         
13M-36M31        36M31            36M38            122.90     0.0125     0.00       0.07       0          0         
13M-36M51        36M51            36M54            92.00      0.0125     0.00       0.00       0          0         
13M-36M54        36M54            36G8             88.60      0.0125     0.00       0.06       0          0         
13M-36M60        36M60            36M54            189.98     0.0125     0.00       0.12       0          0         
13M-36Q185       36Q185           36L32            144.80     0.0125     0.00       0.00       0          0         
13M-36R17        36R17            36W6             153.20     0.0125     0.00       0.00       0          0         
13M-36R22        36R22            36R25            135.00     0.0125     0.00       0.00       0          0         
13M-36R25        36R25            36R31            144.45     0.0125     0.00       0.00       0          0         
13M-36R29        36R29            36R31            156.10     0.0125     0.00       0.00       0          0         
13M-36R31        36R31            36R33            112.90     0.0125     0.02       0.00       0          0         
13M-36R38        36R38            36M42            149.10     0.0125     0.00       0.29       0          0         
13M-36R56        36R56            36R33            64.20      0.0125     0.00       0.83       0          0         
13M-36R6         36R6             36R22            135.61     0.0125     0.00       0.00       0          0         
13M-36W3         36W3             36W6             107.50     0.0125     0.00       0.00       0          0         
13M-36W6         36W6             36R22            54.91      0.0125     0.00       0.00       0          0         
13M-36X15        36X15            36R29            426.42     0.0125     0.00       0.00       0          0         
13M-36X17        36X17            36X15            135.70     0.0125     0.00       0.00       0          0         
13M-36X20        36X20            36X15            154.90     0.0125     0.00       0.00       0          0         
13M-37C18        37C18            37C22            191.14     0.0125     0.00       0.00       0          0         
13M-37C22        37C22            37C4             143.00     0.0125     0.00       0.09       0          0         
13M-37C4         37C4             36X17            232.00     0.0125     0.00       0.00       0          0         
13M-37C5         37C5             37C4             42.09      0.0125     0.00       0.00       0          0         
13M-37D1         37D1             37C5             254.60     0.0125     0.00       0.00       0          0         
13M-37H1         37H1             37C18            143.04     0.0125     0.00       0.03       0          0         
13Mb36R4         36R4             36R6             19.70      0.0125     0.00       0.00       0          0         
13Mq36*10        36*10            36*9             73.94      0.0125     0.00       0.00       0          0         
13Mq36*11        36*11            36*9             64.14      0.0125     0.00       0.00       0          0         
13Mq36*12        36*12            36*10            47.74      0.0125     0.00       0.00       0          0         
13Mq36*8         36*8             36V3             10.37      0.0125     0.00       0.02       0          0         
13Mq36*9         36*9             36*8             45.27      0.0125     0.00       0.00       0          0         
13S-36L58        36L58            36L62            72.80      0.0125     0.00       0.00       0          0         
13S-36L62        36L62            36L71            61.33      0.0125     0.00       0.00       0          0         
13S-36L71        36L71            36M18            85.00      0.0125     0.00       0.00       0          0         
13S-36M18        36M18            36M5             121.40     0.0125     0.00       0.00       0          0         
13S-36M5         36M5             36R67            57.15      0.0125     0.00       0.00       0          0         
13S-36Q121       36Q121           36Q123           34.15      0.0125     0.00       0.00       0          0         
13S-36Q123       36Q123           36Q55            67.50      0.0125     0.00       0.00       0          0         
13S-36Q153       36Q153           36Q123           164.10     0.0125     0.00       0.00       0          0         
13S-36Q44        36Q44            36Q55            77.97      0.0125     0.00       0.00       0          0         
13S-36Q55        36Q55            36Q81            167.08     0.0125     0.00       0.00       0          0         
13S-36Q69        36Q69            36Q81            37.70      0.0125     0.00       0.00       0          0         
13S-36Q81        36Q81            36R67            166.56     0.0125     0.00       0.00       0          0         
13S-36Q86        36Q86            36Q81            49.90      0.0125     0.00       0.00       0          0         
13S-36Q88        36Q88            36Q86            25.40      0.0125     0.00       0.00       0          0         
13S-36R67        36R67            36R71            49.43      0.0125     0.00       0.00       0          0         
13S-36R71        36R71            36M29            61.99      0.0125     0.00       0.00       0          0         
13S-36R78        36R78            36R67            53.53      0.0125     0.00       0.00       0          0         
13M-17U24_A      36Q185_A         36Q185           84.10      0.0125     0.00       0.00       0          0         
13M-17U24_B      17U24            36Q185_A         84.10      0.0125     0.00       0.00       0          0         
13M-36G5_A       36G8_A           36G8             94.60      0.0125     0.00       0.12       0          0         
13M-36G5_B       36G5             36G8_A           94.60      0.0125     0.00       0.00       0          0         
13M-36L12_A      36L24_A          36L24            72.95      0.0125     0.00       0.59       0          0         
13M-36L12_B      36L12            36L24_A          72.95      0.0125     0.00       0.00       0          0         
13M-36M37_A      36M31_A          36M31            116.25     0.0125     0.00       1.01       0          0         
13M-36M37_B      36M37            36M31_A          116.25     0.0125     0.00       0.00       0          0         
13M-36M65_A      36M60_A          36M60            59.45      0.0125     0.00       0.10       0          0         
13M-36M65_B      36M65            36M60_A          59.45      0.0125     0.00       0.00       0          0         
13M-36M66_A      36M51_A          36M51            79.80      0.0125     0.00       0.10       0          0         
13M-36M66_B      36M66            36M51_A          79.80      0.0125     0.00       0.00       0          0         
13M-36Q31_A      36Q33_A          36Q33            20.00      0.0125     0.00       0.00       0          0         
13M-36Q31_B      36Q31            36Q33_A          129.60     0.0125     0.00       0.00       0          0         
13M-36R33_A      36R36_A          36R36            20.00      0.0125     0.00       0.00       0          0         
13M-36R33_B      36R33            36R36_A          146.40     0.0125     0.00       0.00       0          0         
13M-36R50_A      36M29_A          36M29            78.94      0.0125     0.00       0.84       0          0         
13M-36R50_B      36R50            36M29_A          78.94      0.0125     0.00       0.00       0          0         
13M-36R60_A      36R51_A          36R51            20.00      0.0125     0.00       0.00       0          0         
13M-36R60_B      36R60            36R51_A          32.10      0.0125     0.00       0.00       0          0         
13M-36V3_A       36Q26_A          36Q26            20.00      0.0125     0.00       0.22       0          0         
13M-36V3_B       36V3             36Q26_A          125.90     0.0125     0.00       0.00       0          0         
13M-36V8_A       36V3_A           36V3             36.00      0.0125     0.00       0.15       0          0         
13M-36V8_B       36V8             36V3_A           36.00      0.0125     0.00       0.00       0          0         
13M-36W8_A       36R29_A          36R29            84.55      0.0125     0.00       0.63       0          0         
13M-36W8_B       36W8             36R29_A          84.55      0.0125     0.00       0.00       0          0         
13M-36X21_A      36X17_A          36X17            45.35      0.0125     0.00       0.49       0          0         
13M-36X21_B      36X21            36X17_A          45.35      0.0125     0.00       0.00       0          0         
13M-37B1_A       36X20_A          36X20            158.65     0.0125     0.00       0.00       0          0         
13M-37B1_B       37B1             36X20_A          158.65     0.0125     0.00       0.00       0          0         
13M-37G2_A       37H1_A           37H1             52.40      0.0125     0.00       0.00       0          0         
13M-37G2_B       37G2             37H1_A           52.40      0.0125     0.00       0.00       0          0         
13M-37I3_A       37D1_A           37D1             92.65      0.0125     0.00       0.00       0          0         
13M-37I3_B       37I3             37D1_A           92.65      0.0125     0.00       0.00       0          0         
13Ma36Q23_A      36Q31_A          36Q31            55.10      0.0125     0.00       0.04       0          0         
13Ma36Q23_B      36Q23            36Q31_A          20.00      0.0125     0.00       0.00       0          0         
13Ma36Q26_A      36W3_A           36W3             146.10     0.0125     0.00       0.28       0          0         
13Ma36Q26_B      36Q26            36W3_A           20.00      0.0125     0.00       0.00       0          0         
13Ma36Q33_A      36R60_A          36R60            170.20     0.0125     0.00       0.00       0          0         
13Ma36Q33_B      36Q33            36R60_A          20.00      0.0125     0.00       0.00       0          0         
13Ma36R36_A      36R38_A          36R38            64.10      0.0125     0.00       0.43       0          0         
13Ma36R36_B      36R36            36R38_A          20.00      0.0125     0.67       0.00       0          0         
13Ma36R4_A       36R17_A          36R17            47.08      0.0125     0.00       0.10       0          0         
13Ma36R4_B       36R4             36R17_A          20.00      0.0125     0.00       0.00       0          0         
13Ma36R51_A      36R36_B          36R36            20.00      0.0125     0.00       0.00       0          0         
13Ma36R51_B      36R36_C          36R36_B          105.80     0.0125     0.00       0.00       0          0         
13Ma36R51_C      36R51            36R36_C          20.00      0.0125     0.00       0.00       0          0         
13Ma36R58_A      36R56_A          36R56            104.80     0.0125     0.00       0.00       0          0         
13Ma36R58_B      36R58            36R56_A          20.00      0.0125     0.07       0.00       0          0         
13Mb36L17_A      36M60_B          36M60            131.40     0.0125     0.00       0.04       0          0         
13Mb36Q23_A      36Q26_B          36Q26            20.00      0.0125     0.00       0.00       0          0         
13Mb36Q23_B      36Q26_C          36Q26_B          116.90     0.0125     0.00       0.00       0          0         
13Mb36Q23_C      36Q23            36Q26_C          20.00      0.0125     0.32       0.00       0          0         
13Mb36Q26_A      36R17_B          36R17            151.60     0.0125     0.00       0.00       0          0         
13Mb36Q26_B      36Q26            36R17_B          20.00      0.0125     0.17       0.00       0          0         
13Mb36Q33_A      36R17_C          36R17            132.90     0.0125     0.00       0.00       0          0         
13Mb36Q33_B      36Q33            36R17_C          20.00      0.0125     0.48       0.00       0          0         
13Mb36R36_A      36M31_B          36M31            151.00     0.0125     0.00       0.04       0          0         
13Mb36R36_B      36R36            36M31_B          20.00      0.0125     0.00       0.00       0          0         
13Mb36R51_A      36R56_B          36R56            140.40     0.0125     0.00       0.17       0          0         
13Mb36R51_B      36R51            36R56_B          20.00      0.0125     0.69       0.00       0          0         
13Mb36R58_A      36R60_B          36R60            126.60     0.0125     0.00       0.22       0          0         
13Mb36R58_B      36R58            36R60_B          20.00      0.0125     0.00       0.00       0          0         
13S-36L44_A      36L58_A          36L58            50.00      0.0125     0.00       0.00       0          0         
13S-36L44_B      36L44            36L58_A          50.00      0.0125     0.00       0.00       0          0         
13S-36L56_A      36Q88_A          36Q88            97.50      0.0125     0.00       0.00       0          0         
13S-36L56_B      36L56            36Q88_A          97.50      0.0125     0.00       0.00       0          0         
13S-36Q109_A     36Q86_A          36Q86            39.15      0.0125     0.00       0.00       0          0         
13S-36Q109_B     36Q109           36Q86_A          39.15      0.0125     0.00       0.00       0          0         
